method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
ours (watershed),MCF7_Phase_H4_1_01d12h00m_4.tif,0.3423966313374308,304,92,93,0.7667087011349306,0.7596495152645024,396,397
ours (watershed),SKOV3_Phase_F4_2_00d16h00m_4.tif,0.3453774674934339,48,76,23,0.4923076923076923,0.728184498934819,124,71
ours (watershed),MCF7_Phase_H4_2_02d00h00m_1.tif,0.3539260380244945,333,110,98,0.7620137299771167,0.7567556745663218,443,431
ours (watershed),SHSY5Y_Phase_A10_1_01d08h00m_2.tif,0.3570909380463368,178,127,179,0.5377643504531722,0.6758977541753939,305,357
ours (watershed),BV2_Phase_A4_2_02d12h00m_4.tif,0.362422195012014,632,94,491,0.6836127636560303,0.7726950902253867,726,1123
ours (watershed),SKOV3_Phase_E4_1_00d04h00m_1.tif,0.3641226873907286,56,88,23,0.5022421524663677,0.7635421131246048,144,79
ours (watershed),A172_Phase_C7_2_00d16h00m_1.tif,0.3682667789827302,78,61,21,0.6554621848739496,0.7938236446182012,139,99
ours (watershed),BT474_Phase_D3_1_03d04h00m_2.tif,0.3745985835063418,179,77,124,0.6404293381037567,0.7467058648970522,256,303
ours (watershed),SkBr3_Phase_G3_2_02d04h00m_3.tif,0.3784471567690063,377,51,47,0.8849765258215962,0.8278273592542114,428,424
ours (watershed),MCF7_Phase_H4_1_02d08h00m_1.tif,0.384207790373675,311,174,100,0.6941964285714286,0.7095853379610222,485,411
ours (watershed),SHSY5Y_Phase_A10_2_01d16h00m_2.tif,0.3876556777207178,209,127,109,0.6391437308868502,0.6857248327476485,336,318
ours (watershed),SkBr3_Phase_G3_2_01d20h00m_1.tif,0.3933343598393845,333,53,50,0.8660598179453837,0.8489763981927734,386,383
ours (watershed),BT474_Phase_D3_1_05d00h00m_4.tif,0.3972270088505216,242,102,167,0.6427622841965471,0.6982469698982411,344,409
ours (watershed),SKOV3_Phase_E4_1_00d04h00m_2.tif,0.400645403327151,63,67,17,0.6,0.7599958869890912,130,80
ours (watershed),Huh7_Phase_A12_1_03d16h00m_1.tif,0.4044489066597377,63,84,48,0.4883720930232558,0.7389293062804513,147,111
ours (watershed),SkBr3_Phase_G3_2_02d08h00m_1.tif,0.4126753135926555,392,51,36,0.9001148105625718,0.8329169549147604,443,428
ours (watershed),BV2_Phase_A4_1_02d12h00m_3.tif,0.4156009574409895,819,127,233,0.8198198198198198,0.7933126022035332,946,1052
ours (watershed),SKOV3_Phase_E4_2_01d08h00m_3.tif,0.4197373761199701,66,99,28,0.5096525096525096,0.7257472949267985,165,94
ours (watershed),A172_Phase_C7_1_01d00h00m_3.tif,0.4295939887456251,98,58,29,0.6925795053003534,0.7414192177731792,156,127
ours (watershed),BV2_Phase_A4_1_03d00h00m_3.tif,0.4342386035839234,936,388,307,0.7292559407869108,0.7850829403973498,1324,1243
ours (watershed),A172_Phase_C7_1_01d08h00m_4.tif,0.4375402089707154,116,125,32,0.596401028277635,0.7431711294847606,241,148
ours (watershed),A172_Phase_C7_2_00d16h00m_2.tif,0.443464680261144,84,107,26,0.5581395348837209,0.7610491847370205,191,110
ours (watershed),Huh7_Phase_A12_1_03d20h00m_1.tif,0.4473774491914329,76,71,41,0.5757575757575758,0.7422165663096718,147,117
