method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
StarDist,SkBr3_Phase_G3_2_01d08h00m_1.tif,0.25585376393137804,0,0,306,0.0,,0,306
StarDist,SkBr3_Phase_G3_2_01d00h00m_1.tif,0.25776018752730784,0,0,280,0.0,,0,280
StarDist,BT474_Phase_D3_2_04d00h00m_2.tif,0.2600584377731598,0,0,201,0.0,,0,201
StarDist,SHSY5Y_Phase_A10_1_01d04h00m_2.tif,0.26312670468204485,0,7,359,0.0,,7,359
StarDist,SkBr3_Phase_G3_2_01d12h00m_4.tif,0.2652523145214181,0,0,286,0.0,,0,286
StarDist,SkBr3_Phase_G3_1_01d08h00m_4.tif,0.2678101598011316,0,2,274,0.0,,2,274
StarDist,SkBr3_Phase_G3_2_01d04h00m_2.tif,0.2698067688756692,0,1,263,0.0,,1,263
StarDist,Huh7_Phase_A12_1_01d08h00m_1.tif,0.2733935830965909,0,0,112,0.0,,0,112
StarDist,BT474_Phase_D3_2_01d16h00m_1.tif,0.2760247847465017,1,2,226,0.008695652173913044,0.5705128205128205,3,227
StarDist,SkBr3_Phase_G3_2_01d08h00m_3.tif,0.2781882167832071,0,1,344,0.0,,1,344
StarDist,SHSY5Y_Phase_A10_2_01d16h00m_3.tif,0.2794986263931396,0,11,436,0.0,,11,436
StarDist,SkBr3_Phase_G3_2_01d04h00m_3.tif,0.2831740664608851,0,3,314,0.0,,3,314
StarDist,SKOV3_Phase_F4_1_00d12h00m_4.tif,0.2874831672038954,0,11,50,0.0,,11,50
StarDist,MCF7_Phase_H4_1_01d20h00m_2.tif,0.2915954931982095,0,1,305,0.0,,1,305
StarDist,SKOV3_Phase_E4_1_00d04h00m_3.tif,0.29580782916302495,0,10,59,0.0,,10,59
StarDist,Huh7_Phase_A12_1_00d20h00m_3.tif,0.29952075024585023,0,0,107,0.0,,0,107
StarDist,SHSY5Y_Phase_A10_1_01d16h00m_3.tif,0.3032984861232484,0,15,425,0.0,,15,425
StarDist,SkBr3_Phase_G3_2_01d16h00m_1.tif,0.30602748142483094,0,1,360,0.0,,1,360
StarDist,Huh7_Phase_A12_2_04d00h00m_4.tif,0.30899527398383086,0,0,61,0.0,,0,61
StarDist,SHSY5Y_Phase_A10_2_01d12h00m_1.tif,0.31142192198427027,0,9,298,0.0,,9,298
StarDist,SkBr3_Phase_G3_1_01d20h00m_3.tif,0.31418102955638094,0,1,260,0.0,,1,260
StarDist,MCF7_Phase_H4_2_02d00h00m_3.tif,0.31549934713725997,0,0,360,0.0,,0,360
StarDist,SKOV3_Phase_E4_2_00d08h00m_2.tif,0.3190905915373649,0,16,71,0.0,,16,71
StarDist,BT474_Phase_D3_1_03d04h00m_4.tif,0.3236079871885817,0,0,229,0.0,,0,229
StarDist,SHSY5Y_Phase_A10_2_01d20h00m_3.tif,0.3294207156905809,0,3,292,0.0,,3,292
StarDist,MCF7_Phase_H4_1_02d00h00m_1.tif,0.3314834697333926,0,1,462,0.0,,1,462
StarDist,SkBr3_Phase_G3_1_02d00h00m_3.tif,0.3352176300262214,0,1,284,0.0,,1,284
StarDist,SKOV3_Phase_F4_1_00d08h00m_3.tif,0.33875709544362276,0,19,62,0.0,,19,62
StarDist,MCF7_Phase_H4_1_01d12h00m_4.tif,0.3423966313374308,0,0,397,0.0,,0,397
StarDist,SKOV3_Phase_F4_2_00d16h00m_4.tif,0.3453774674934339,0,5,71,0.0,,5,71
StarDist,MCF7_Phase_H4_2_02d00h00m_1.tif,0.3539260380244945,0,0,431,0.0,,0,431
StarDist,SHSY5Y_Phase_A10_1_01d08h00m_2.tif,0.35709093804633685,0,21,357,0.0,,21,357
StarDist,BV2_Phase_A4_2_02d12h00m_4.tif,0.36242219501201406,0,0,1123,0.0,,0,1123
StarDist,SKOV3_Phase_E4_1_00d04h00m_1.tif,0.36412268739072867,0,16,79,0.0,,16,79
StarDist,A172_Phase_C7_2_00d16h00m_1.tif,0.36826677898273025,0,0,99,0.0,,0,99
StarDist,BT474_Phase_D3_1_03d04h00m_2.tif,0.3745985835063418,0,0,303,0.0,,0,303
StarDist,SkBr3_Phase_G3_2_02d04h00m_3.tif,0.3784471567690063,0,0,424,0.0,,0,424
StarDist,MCF7_Phase_H4_1_02d08h00m_1.tif,0.384207790373675,0,0,411,0.0,,0,411
StarDist,SHSY5Y_Phase_A10_2_01d16h00m_2.tif,0.38765567772071785,0,21,318,0.0,,21,318
StarDist,SkBr3_Phase_G3_2_01d20h00m_1.tif,0.39333435983938453,0,1,383,0.0,,1,383
StarDist,BT474_Phase_D3_1_05d00h00m_4.tif,0.39722700885052165,0,0,409,0.0,,0,409
StarDist,SKOV3_Phase_E4_1_00d04h00m_2.tif,0.40064540332715104,3,21,77,0.057692307692307696,0.5094087112606972,24,80
StarDist,Huh7_Phase_A12_1_03d16h00m_1.tif,0.4044489066597377,0,1,111,0.0,,1,111
StarDist,SkBr3_Phase_G3_2_02d08h00m_1.tif,0.4126753135926555,0,0,428,0.0,,0,428
StarDist,BV2_Phase_A4_1_02d12h00m_3.tif,0.4156009574409895,0,0,1052,0.0,,0,1052
StarDist,SKOV3_Phase_E4_2_01d08h00m_3.tif,0.41973737611997014,1,14,93,0.01834862385321101,0.6757254721326578,15,94
StarDist,A172_Phase_C7_1_01d00h00m_3.tif,0.4295939887456251,0,5,127,0.0,,5,127
StarDist,BV2_Phase_A4_1_03d00h00m_3.tif,0.4342386035839234,0,0,1243,0.0,,0,1243
StarDist,A172_Phase_C7_1_01d08h00m_4.tif,0.4375402089707154,0,7,148,0.0,,7,148
StarDist,A172_Phase_C7_2_00d16h00m_2.tif,0.44346468026114405,1,2,109,0.017699115044247787,0.6924643584521385,3,110
StarDist,Huh7_Phase_A12_1_03d20h00m_1.tif,0.44737744919143296,0,0,117,0.0,,0,117
StarDist,SkBr3_Phase_G3_1_02d08h00m_4.tif,0.45422548049605976,0,1,400,0.0,,1,400
StarDist,Huh7_Phase_A12_2_03d04h00m_1.tif,0.45942256337412796,0,0,107,0.0,,0,107
StarDist,SKOV3_Phase_E4_2_00d16h00m_1.tif,0.4668090302666158,0,16,79,0.0,,16,79
StarDist,MCF7_Phase_H4_1_02d04h00m_4.tif,0.47277800685641186,0,1,545,0.0,,1,545
StarDist,MCF7_Phase_H4_2_02d00h00m_4.tif,0.4762265596317781,0,1,698,0.0,,1,698
StarDist,SkBr3_Phase_G3_1_02d08h00m_2.tif,0.47833929482627185,0,0,406,0.0,,0,406
StarDist,BV2_Phase_A4_1_02d16h00m_4.tif,0.4813652485795532,0,0,1386,0.0,,0,1386
StarDist,SKOV3_Phase_E4_1_01d04h00m_4.tif,0.4844538950502637,0,11,99,0.0,,11,99
StarDist,SHSY5Y_Phase_A10_1_01d20h00m_4.tif,0.48974259547095034,0,6,516,0.0,,6,516
StarDist,SkBr3_Phase_G3_1_03d00h00m_3.tif,0.49605373907341455,0,2,406,0.0,,2,406
StarDist,SKOV3_Phase_E4_1_00d20h00m_4.tif,0.4985569782561186,3,20,78,0.057692307692307696,0.5756864292923848,23,81
StarDist,A172_Phase_C7_1_01d08h00m_3.tif,0.5027165947334037,0,4,166,0.0,,4,166
StarDist,A172_Phase_C7_2_01d00h00m_3.tif,0.5090381120246996,0,2,121,0.0,,2,121
StarDist,SHSY5Y_Phase_A10_2_02d16h00m_3.tif,0.5162545786440113,0,10,569,0.0,,10,569
StarDist,SKOV3_Phase_F4_1_01d00h00m_2.tif,0.5206657349486425,2,17,105,0.031746031746031744,0.5994333283229737,19,107
StarDist,SHSY5Y_Phase_A10_1_02d12h00m_2.tif,0.5254306994372903,0,9,717,0.0,,9,717
StarDist,SKOV3_Phase_E4_2_01d04h00m_2.tif,0.5345277313701963,0,2,133,0.0,,2,133
StarDist,SkBr3_Phase_G3_2_02d20h00m_1.tif,0.5431049725469721,0,1,526,0.0,,1,526
StarDist,SkBr3_Phase_G3_1_02d20h00m_2.tif,0.5477818668050606,1,1,522,0.0038095238095238095,0.6231884057971014,2,523
StarDist,SHSY5Y_Phase_A10_1_02d08h00m_1.tif,0.55562100415207,0,5,594,0.0,,5,594
StarDist,SKOV3_Phase_F4_1_01d16h00m_4.tif,0.5617371707003943,0,12,87,0.0,,12,87
StarDist,SkBr3_Phase_G3_2_03d08h00m_2.tif,0.5677904742132884,0,0,551,0.0,,0,551
StarDist,SHSY5Y_Phase_A10_1_02d04h00m_1.tif,0.5744628777862822,0,8,578,0.0,,8,578
StarDist,MCF7_Phase_H4_1_02d12h00m_4.tif,0.5853660441706763,0,1,773,0.0,,1,773
StarDist,SkBr3_Phase_G3_2_03d08h00m_4.tif,0.5923533996667588,0,1,506,0.0,,1,506
StarDist,SkBr3_Phase_G3_2_03d12h00m_4.tif,0.6037668222792922,0,0,539,0.0,,0,539
StarDist,SKOV3_Phase_E4_1_00d20h00m_1.tif,0.6111803534746518,0,15,119,0.0,,15,119
StarDist,MCF7_Phase_H4_2_03d16h00m_1.tif,0.6209018373033282,0,0,1064,0.0,,0,1064
StarDist,SKOV3_Phase_E4_1_01d00h00m_1.tif,0.6279902730277525,0,15,146,0.0,,15,146
StarDist,SkBr3_Phase_G3_2_03d08h00m_1.tif,0.6328579001857547,0,0,623,0.0,,0,623
StarDist,MCF7_Phase_H4_2_02d12h00m_2.tif,0.6489565538953214,0,1,1029,0.0,,1,1029
StarDist,MCF7_Phase_H4_1_03d08h00m_3.tif,0.6530734780648965,0,0,863,0.0,,0,863
StarDist,SKOV3_Phase_F4_2_01d08h00m_2.tif,0.6631317093258323,0,6,117,0.0,,6,117
StarDist,MCF7_Phase_H4_2_03d08h00m_2.tif,0.6736426949027488,0,0,1266,0.0,,0,1266
StarDist,SKOV3_Phase_E4_2_01d16h00m_4.tif,0.6815534055397634,0,8,122,0.0,,8,122
StarDist,SkBr3_Phase_G3_2_03d12h00m_3.tif,0.6886190432419088,0,0,691,0.0,,0,691
StarDist,SHSY5Y_Phase_A10_1_03d00h00m_3.tif,0.6974546216674177,0,3,986,0.0,,3,986
StarDist,SKOV3_Phase_F4_2_01d12h00m_1.tif,0.7039361254370582,1,4,137,0.013986013986013986,0.7501387090808211,5,138
StarDist,SKOV3_Phase_E4_1_01d16h00m_3.tif,0.7178174923513944,0,4,135,0.0,,4,135
StarDist,SKOV3_Phase_E4_2_01d16h00m_2.tif,0.728647390461094,0,4,135,0.0,,4,135
StarDist,BV2_Phase_A4_1_02d04h00m_2.tif,0.7376357161003044,0,0,1758,0.0,,0,1758
StarDist,A172_Phase_C7_1_02d00h00m_2.tif,0.750573590881781,0,4,391,0.0,,4,391
StarDist,SKOV3_Phase_E4_2_02d04h00m_3.tif,0.7612629919689756,0,5,171,0.0,,5,171
StarDist,SHSY5Y_Phase_A10_1_03d00h00m_1.tif,0.7732970663516148,0,1,922,0.0,,1,922
StarDist,SHSY5Y_Phase_A10_1_03d08h00m_2.tif,0.7991580852545952,0,2,1261,0.0,,2,1261
StarDist,SKOV3_Phase_E4_2_02d08h00m_3.tif,0.8169037991695806,0,3,186,0.0,,3,186
StarDist,SKOV3_Phase_E4_2_02d04h00m_4.tif,0.8348433190832483,0,2,185,0.0,,2,185
StarDist,A172_Phase_C7_2_02d16h00m_4.tif,0.8449416152207169,0,1,325,0.0,,1,325
StarDist,SKOV3_Phase_F4_2_02d00h00m_1.tif,0.8595048470279786,0,4,166,0.0,,4,166
StarDist,SKOV3_Phase_F4_2_02d08h00m_3.tif,0.8677490965089631,0,0,203,0.0,,0,203
StarDist,SKOV3_Phase_E4_1_02d20h00m_2.tif,0.878217421874996,0,1,335,0.0,,1,335
StarDist,SKOV3_Phase_E4_2_02d12h00m_3.tif,0.8898521802611433,0,1,190,0.0,,1,190
StarDist,SKOV3_Phase_E4_1_02d16h00m_2.tif,0.8982656349705043,0,3,303,0.0,,3,303
StarDist,SKOV3_Phase_E4_1_02d00h00m_1.tif,0.9090176134997876,2,2,263,0.01486988847583643,0.6706972902472986,4,265
