file,cell_type,phi,hours,n_expert,meanq_expert,meanarea_expert,n_ours,meanq_ours,meanarea_ours,n_conncomp,meanq_conncomp,meanarea_conncomp,n_oursalt,meanq_oursalt,meanarea_oursalt,n_cellpose,meanq_cellpose,meanarea_cellpose
BT474_Phase_D3_2_00d12h00m_1.tif,BT474,0.17805882949082452,12.0,103,4.161549557201978,544.5631067961165,145,4.03734602891465,409.7586206896552,50,4.287522210968231,1017.54,93,4.038320487416703,529.0860215053764,114,4.047991579720241,450.8859649122807
BT474_Phase_D3_1_02d16h00m_3.tif,BT474,0.30589782438265234,64.0,161,4.369653209582385,541.3478260869565,177,4.292111005891509,475.59887005649716,16,5.577918009163727,2746.125,66,4.5097514666142615,1032.3181818181818,138,4.183125122691293,523.6014492753624
BT474_Phase_D3_2_02d16h00m_4.tif,BT474,0.2708087319711678,64.0,134,4.257477694021529,630.5223880597015,190,4.14137303604156,497.3,28,4.326756102859528,2612.1428571428573,102,4.267449892850672,852.3137254901961,142,4.121286036573629,598.4929577464789
BT474_Phase_D3_2_03d12h00m_3.tif,BT474,0.30259011104130035,84.0,165,4.186689713139979,578.6727272727272,201,4.122945428906648,515.3233830845771,19,4.087824945351119,1132.7368421052631,103,4.238206263983974,828.9223300970874,163,4.086535286752946,555.0674846625767
BT474_Phase_D3_1_03d12h00m_4.tif,BT474,0.2851150110631517,84.0,170,4.510924092037742,537.935294117647,209,4.278387830449025,501.13397129186603,16,5.160897371916846,3249.1875,101,4.572214742628579,948.3960396039604,157,4.207010508452987,589.8089171974523
BT474_Phase_D3_2_02d16h00m_2.tif,BT474,0.21563285565995835,64.0,127,4.334253833652561,554.7637795275591,162,4.210269345182082,517.0308641975308,20,4.300953050113169,3104.2,79,4.275586180241244,1006.9113924050633,117,4.220031914126168,644.1196581196581
BT474_Phase_D3_2_01d04h00m_4.tif,BT474,0.17255292927775853,28.0,126,4.1306302594490045,432.4761904761905,149,4.156290026227263,455.255033557047,32,4.544837073554247,1766.09375,88,4.167627662130664,701.8636363636364,122,4.1623664389861625,492.41803278688525
BT474_Phase_D3_1_05d00h00m_2.tif,BT474,0.333097873552223,120.0,243,4.2170649390519195,425.9423868312757,307,4.286013348775738,479.8501628664495,5,3.9164825014179767,390.8,130,4.498622745435489,1006.9,283,4.095557003401992,432.3957597173145
BT474_Phase_D3_1_04d16h00m_4.tif,BT474,0.27857080064466555,112.0,219,4.160629895629562,397.00456621004565,257,4.196716604261818,422.3852140077821,14,4.752722646628421,2206.0,121,4.390438327283302,806.1157024793389,205,4.110906817253709,448.8341463414634
BT474_Phase_D3_2_05d00h00m_1.tif,BT474,0.4026885469023084,120.0,283,4.328632303108599,446.0989399293286,286,4.258860516982758,479.27272727272725,4,4.370645525581304,2009.25,127,4.568264970698856,963.5748031496063,258,4.090979827733606,468.3953488372093
BT474_Phase_D3_1_03d12h00m_2.tif,BT474,0.31412511909965823,84.0,184,4.370097047995866,549.3913043478261,268,4.167433507156226,456.9776119402985,22,4.817141343019657,3903.681818181818,126,4.35905870659023,924.5873015873016,211,4.1450290014587825,512.9289099526067
BT474_Phase_D3_1_01d16h00m_3.tif,BT474,0.21206006624235643,40.0,134,4.3668864674547345,470.86567164179104,155,4.176357030682448,428.52258064516127,28,4.372390191229085,1557.4642857142858,79,4.3169887966469425,767.9367088607595,122,4.170944634726311,508.38524590163934
BT474_Phase_D3_1_03d12h00m_1.tif,BT474,0.2892669184331445,84.0,129,4.50275434083669,705.6666666666666,187,4.277114637510427,547.1604278074866,21,4.9820714414976655,3532.3333333333335,77,4.335129213655899,1060.012987012987,134,4.206906026842499,608.455223880597
BT474_Phase_D3_1_04d00h00m_1.tif,BT474,0.3177701723666974,96.0,149,4.229193723877456,636.8053691275168,190,4.243084841827548,579.021052631579,13,4.819983519927036,4519.384615384615,69,4.47570244732333,1361.2028985507247,145,4.1442519638151625,587.2206896551725
BT474_Phase_D3_1_00d12h00m_4.tif,BT474,0.14947004247705306,12.0,115,4.151545463753236,404.83478260869566,119,4.043635107254024,435.3613445378151,47,4.414033359539938,1081.7021276595744,90,4.04241815766616,537.4,104,4.113283615413053,466.6442307692308
BT474_Phase_D3_1_04d00h00m_4.tif,BT474,0.25505780143683515,96.0,131,4.392787623265413,591.5648854961833,220,4.294879735375821,476.8727272727273,12,4.8733743726862615,2569.0,88,4.555783721777598,951.2159090909091,157,4.209724857744219,547.9108280254777
BT474_Phase_D3_2_04d00h00m_4.tif,BT474,0.3010984829818557,96.0,210,4.215852684110518,451.6,200,4.314421566761985,483.835,22,5.431746638213098,2808.9545454545455,97,4.54950575193169,925.7319587628866,154,4.13474565006488,516.7597402597403
BT474_Phase_D3_2_01d04h00m_2.tif,BT474,0.1848857763330406,28.0,102,4.227886948096328,609.9705882352941,137,4.1224627054179805,477.5255474452555,36,4.141481047466424,1473.3333333333333,75,4.1431415919020225,828.2533333333333,96,4.107856316723596,549.0625
BT474_Phase_D3_2_01d16h00m_3.tif,BT474,0.22166642878605722,40.0,131,4.332440714651034,532.9694656488549,128,4.219911650001352,530.1015625,29,4.53093251679203,1753.0344827586207,78,4.26171831949027,769.3205128205128,104,4.167148703593103,579.6153846153846
BT474_Phase_D3_1_03d00h00m_3.tif,BT474,0.29864193086210605,72.0,178,4.276607553190884,505.6629213483146,201,4.207570277874148,482.21890547263683,18,4.922630963630699,3012.9444444444443,86,4.361608803820883,944.1627906976744,167,4.119483416782855,533.1437125748503
BT474_Phase_D3_1_02d16h00m_2.tif,BT474,0.3055963431490378,64.0,186,4.218316293611162,528.489247311828,204,4.23049406814976,503.95588235294116,24,4.741963174587034,2723.4166666666665,86,4.354824851094151,1040.1627906976744,170,4.133843878302138,499.7
BT474_Phase_D3_2_04d00h00m_2.tif,BT474,0.2600584377731598,96.0,162,4.270173976820462,532.5123456790124,167,4.30599717109497,523.8982035928144,18,5.096198280511805,2983.9444444444443,75,4.603750421714092,1014.2133333333334,109,4.144190236732787,608.9633027522935
BT474_Phase_D3_1_03d12h00m_3.tif,BT474,0.2602166679414315,84.0,140,4.325925829547573,586.1142857142858,216,4.22174920763944,474.56481481481484,15,5.000426445996538,2854.9333333333334,89,4.422008292708137,886.2134831460675,161,4.112502906310271,553.3850931677018
BT474_Phase_D3_1_03d04h00m_1.tif,BT474,0.3300953282069551,76.0,140,4.267754913447819,690.7642857142857,180,4.191687473586109,533.7,18,4.76263034080521,3217.4444444444443,79,4.3274605377036535,951.0886075949367,133,4.150777787982622,625.0676691729324
BT474_Phase_D3_2_00d16h00m_4.tif,BT474,0.1764945076212916,16.0,106,4.167220275317397,502.8018867924528,119,4.067425782623386,434.8067226890756,32,4.504025515009292,1370.9375,82,4.141548591071593,590.1951219512196,98,4.112647922450964,472.265306122449
