setting,file,phi,tp,fp,fn,f1,matched_iou
detection-optimal,Huh7_Phase_A12_1_03d08h00m_3.tif,0.20983613609047078,30,30,28,0.5084745762711864,0.7993636789274692
balanced,Huh7_Phase_A12_1_03d08h00m_3.tif,0.20983613609047078,25,20,33,0.4854368932038835,0.7528335693160177
measurement-optimal,Huh7_Phase_A12_1_03d08h00m_3.tif,0.20983613609047078,20,13,38,0.43956043956043955,0.8088593937125321
connected components,Huh7_Phase_A12_1_03d08h00m_3.tif,0.20983613609047078,12,14,46,0.2857142857142857,0.8059510724605122
detection-optimal,Huh7_Phase_A12_1_02d16h00m_2.tif,0.213358489401233,43,28,12,0.6825396825396826,0.8059457406812074
balanced,Huh7_Phase_A12_1_02d16h00m_2.tif,0.213358489401233,36,19,19,0.6545454545454545,0.8017139884070644
measurement-optimal,Huh7_Phase_A12_1_02d16h00m_2.tif,0.213358489401233,20,10,35,0.47058823529411764,0.7885504527825872
connected components,Huh7_Phase_A12_1_02d16h00m_2.tif,0.213358489401233,13,16,42,0.30952380952380953,0.7668962929990587
detection-optimal,Huh7_Phase_A12_2_01d04h00m_4.tif,0.21601668719952324,54,24,17,0.7248322147651006,0.7685671940838786
balanced,Huh7_Phase_A12_2_01d04h00m_4.tif,0.21601668719952324,48,17,23,0.7058823529411765,0.7869024034330457
measurement-optimal,Huh7_Phase_A12_2_01d04h00m_4.tif,0.21601668719952324,41,8,30,0.6833333333333333,0.7928372249797784
connected components,Huh7_Phase_A12_2_01d04h00m_4.tif,0.21601668719952324,16,12,55,0.32323232323232326,0.797271746953633
detection-optimal,Huh7_Phase_A12_2_03d12h00m_2.tif,0.21787903368115863,29,35,11,0.5576923076923077,0.7626754252213719
balanced,Huh7_Phase_A12_2_03d12h00m_2.tif,0.21787903368115863,27,28,13,0.5684210526315789,0.7377151981987701
measurement-optimal,Huh7_Phase_A12_2_03d12h00m_2.tif,0.21787903368115863,22,5,18,0.6567164179104478,0.79662405246781
